Source,Target
"Die_Another_Day(5)","GoldenEye(5)"
"Die_Another_Day(5)","Moonraker(3)"
"Die_Another_Day(5)","On_Her_Majesty's_Secret_Service(2)"
"Die_Another_Day(5)","The_Living_Daylights(4)"
"Die_Another_Day(5)","The_World_Is_Not_Enough(5)"
"Die_Another_Day(5)","Tomorrow_Never_Dies(5)"
"Die_Another_Day(5)","You_only_live_twice(1)"
"Dr. No(1)","For_Your_Eyes_Only(3)"
"Dr. No(1)","From_Russia_with_Love(1)"
"Dr. No(1)","GoldenEye(5)"
"Dr. No(1)","Goldfinger(1)"
"Dr. No(1)","Licence_to_Kill(4)"
"Dr. No(1)","Live_and_Let_Die(3)"
"Dr. No(1)","Moonraker(3)"
"Dr. No(1)","Octopussy(3)"
"Dr. No(1)","On_Her_Majesty's_Secret_Service(2)"
"Dr. No(1)","Quantum_of_Solace(6)"
"Dr. No(1)","The _Spy_Who_Loved_Me(3)"
"Dr. No(1)","The_Living_Daylights(4)"
"Dr. No(1)","The_Man_with_the_Golden_Gun(3)"
"Dr. No(1)","The_World_Is_Not_Enough(5)"
"Dr. No(1)","Thunderball(1)"
"Dr. No(1)","Tomorrow_Never_Dies(5)"
"Dr. No(1)","You_only_live_twice(1)"
"For_Your_Eyes_Only(3)","From_Russia_with_Love(1)"
"For_Your_Eyes_Only(3)","GoldenEye(5)"
"For_Your_Eyes_Only(3)","Goldfinger(1)"
"For_Your_Eyes_Only(3)","Licence_to_Kill(4)"
"For_Your_Eyes_Only(3)","Live_and_Let_Die(3)"
"For_Your_Eyes_Only(3)","Moonraker(3)"
"For_Your_Eyes_Only(3)","On_Her_Majesty's_Secret_Service(2)"
"For_Your_Eyes_Only(3)","The _Spy_Who_Loved_Me(3)"
"For_Your_Eyes_Only(3)","The_Living_Daylights(4)"
"For_Your_Eyes_Only(3)","The_Man_with_the_Golden_Gun(3)"
"For_Your_Eyes_Only(3)","The_World_Is_Not_Enough(5)"
"For_Your_Eyes_Only(3)","You_only_live_twice(1)"
"From_Russia_with_Love(1)","GoldenEye(5)"
"From_Russia_with_Love(1)","Goldfinger(1)"
"From_Russia_with_Love(1)","Licence_to_Kill(4)"
"From_Russia_with_Love(1)","Live_and_Let_Die(3)"
"From_Russia_with_Love(1)","Moonraker(3)"
"From_Russia_with_Love(1)","Octopussy(3)"
"From_Russia_with_Love(1)","On_Her_Majesty's_Secret_Service(2)"
"From_Russia_with_Love(1)","Quantum_of_Solace(6)"
"From_Russia_with_Love(1)","Skyfall(6)"
"From_Russia_with_Love(1)","The _Spy_Who_Loved_Me(3)"
"From_Russia_with_Love(1)","The_Living_Daylights(4)"
"From_Russia_with_Love(1)","The_Man_with_the_Golden_Gun(3)"
"From_Russia_with_Love(1)","The_World_Is_Not_Enough(5)"
"From_Russia_with_Love(1)","Tomorrow_Never_Dies(5)"
"From_Russia_with_Love(1)","You_only_live_twice(1)"
"GoldenEye(5)","Goldfinger(1)"
"GoldenEye(5)","Licence_to_Kill(4)"
"GoldenEye(5)","Live_and_Let_Die(3)"
"GoldenEye(5)","Moonraker(3)"
"GoldenEye(5)","Octopussy(3)"
"GoldenEye(5)","On_Her_Majesty's_Secret_Service(2)"
"GoldenEye(5)","Quantum_of_Solace(6)"
"GoldenEye(5)","Skyfall(6)"
"GoldenEye(5)","The _Spy_Who_Loved_Me(3)"
"GoldenEye(5)","The_Living_Daylights(4)"
"GoldenEye(5)","The_Man_with_the_Golden_Gun(3)"
"GoldenEye(5)","The_World_Is_Not_Enough(5)"
"GoldenEye(5)","Tomorrow_Never_Dies(5)"
"GoldenEye(5)","You_only_live_twice(1)"
"Goldfinger(1)","Licence_to_Kill(4)"
"Goldfinger(1)","Live_and_Let_Die(3)"
"Goldfinger(1)","Moonraker(3)"
"Goldfinger(1)","On_Her_Majesty's_Secret_Service(2)"
"Goldfinger(1)","Quantum_of_Solace(6)"
"Goldfinger(1)","Skyfall(6)"
"Goldfinger(1)","The _Spy_Who_Loved_Me(3)"
"Goldfinger(1)","The_Man_with_the_Golden_Gun(3)"
"Goldfinger(1)","The_World_Is_Not_Enough(5)"
"Goldfinger(1)","You_only_live_twice(1)"
"Licence_to_Kill(4)","Live_and_Let_Die(3)"
"Licence_to_Kill(4)","Moonraker(3)"
"Licence_to_Kill(4)","Octopussy(3)"
"Licence_to_Kill(4)","On_Her_Majesty's_Secret_Service(2)"
"Licence_to_Kill(4)","The _Spy_Who_Loved_Me(3)"
"Licence_to_Kill(4)","The_Living_Daylights(4)"
"Licence_to_Kill(4)","The_Man_with_the_Golden_Gun(3)"
"Licence_to_Kill(4)","The_World_Is_Not_Enough(5)"
"Licence_to_Kill(4)","Thunderball(1)"
"Licence_to_Kill(4)","Tomorrow_Never_Dies(5)"
"Licence_to_Kill(4)","You_only_live_twice(1)"
"Live_and_Let_Die(3)","Moonraker(3)"
"Live_and_Let_Die(3)","Octopussy(3)"
"Live_and_Let_Die(3)","On_Her_Majesty's_Secret_Service(2)"
"Live_and_Let_Die(3)","The _Spy_Who_Loved_Me(3)"
"Live_and_Let_Die(3)","The_Living_Daylights(4)"
"Live_and_Let_Die(3)","The_Man_with_the_Golden_Gun(3)"
"Live_and_Let_Die(3)","The_World_Is_Not_Enough(5)"
"Live_and_Let_Die(3)","Tomorrow_Never_Dies(5)"
"Live_and_Let_Die(3)","You_only_live_twice(1)"
"Moonraker(3)","Octopussy(3)"
"Moonraker(3)","On_Her_Majesty's_Secret_Service(2)"
"Moonraker(3)","Quantum_of_Solace(6)"
"Moonraker(3)","Skyfall(6)"
"Moonraker(3)","Specture(6)"
"Moonraker(3)","The _Spy_Who_Loved_Me(3)"
"Moonraker(3)","The_Living_Daylights(4)"
"Moonraker(3)","The_Man_with_the_Golden_Gun(3)"
"Moonraker(3)","The_World_Is_Not_Enough(5)"
"Moonraker(3)","Tomorrow_Never_Dies(5)"
"Moonraker(3)","You_only_live_twice(1)"
"Octopussy(3)","On_Her_Majesty's_Secret_Service(2)"
"Octopussy(3)","The _Spy_Who_Loved_Me(3)"
"Octopussy(3)","The_Living_Daylights(4)"
"Octopussy(3)","The_Man_with_the_Golden_Gun(3)"
"Octopussy(3)","The_World_Is_Not_Enough(5)"
"Octopussy(3)","Tomorrow_Never_Dies(5)"
"Octopussy(3)","You_only_live_twice(1)"
"On_Her_Majesty's_Secret_Service(2)","The _Spy_Who_Loved_Me(3)"
"On_Her_Majesty's_Secret_Service(2)","The_Living_Daylights(4)"
"On_Her_Majesty's_Secret_Service(2)","The_Man_with_the_Golden_Gun(3)"
"On_Her_Majesty's_Secret_Service(2)","The_World_Is_Not_Enough(5)"
"On_Her_Majesty's_Secret_Service(2)","Tomorrow_Never_Dies(5)"
"On_Her_Majesty's_Secret_Service(2)","You_only_live_twice(1)"
"Quantum_of_Solace(6)","Skyfall(6)"
"Quantum_of_Solace(6)","Specture(6)"
"Quantum_of_Solace(6)","The_World_Is_Not_Enough(5)"
"Skyfall(6)","Specture(6)"
"Skyfall(6)","The_World_Is_Not_Enough(5)"
"The _Spy_Who_Loved_Me(3)","The_Living_Daylights(4)"
"The _Spy_Who_Loved_Me(3)","The_Man_with_the_Golden_Gun(3)"
"The _Spy_Who_Loved_Me(3)","The_World_Is_Not_Enough(5)"
"The _Spy_Who_Loved_Me(3)","Thunderball(1)"
"The _Spy_Who_Loved_Me(3)","Tomorrow_Never_Dies(5)"
"The _Spy_Who_Loved_Me(3)","You_only_live_twice(1)"
"The_Living_Daylights(4)","The_Man_with_the_Golden_Gun(3)"
"The_Living_Daylights(4)","The_World_Is_Not_Enough(5)"
"The_Living_Daylights(4)","Tomorrow_Never_Dies(5)"
"The_Living_Daylights(4)","You_only_live_twice(1)"
"The_Man_with_the_Golden_Gun(3)","The_World_Is_Not_Enough(5)"
"The_Man_with_the_Golden_Gun(3)","Tomorrow_Never_Dies(5)"
"The_Man_with_the_Golden_Gun(3)","You_only_live_twice(1)"
"The_World_Is_Not_Enough(5)","Thunderball(1)"
"The_World_Is_Not_Enough(5)","Tomorrow_Never_Dies(5)"
"The_World_Is_Not_Enough(5)","You_only_live_twice(1)"
"Thunderball(1)","You_only_live_twice(1)"
"Tomorrow_Never_Dies(5)","You_only_live_twice(1)"
